serialNo,name,date,amount,category
92,Jeans,2020-05-24,7341.64,Clothing
93,Mobile Recharge,2020-05-28,9189.12,Communication
94,Fuel,2020-05-09,1332.91,Travel
95,Cafe,2020-05-24,6387.78,Food
96,Postage,2020-05-13,7143.09,Communication
97,Gas,2020-05-26,9784.21,Home
98,Vegetables,2020-05-14,5976.97,Food
99,Dress,2020-05-15,8032.60,Clothing
100,Maintenance,2020-05-20,4155.01,Home
101,Internet,2020-06-05,1086.32,Communication
102,Books,2020-06-21,2110.63,Education
103,Fuel,2020-06-04,9230.80,Transportation
104,Game,2020-06-20,8988.13,Entertainment
105,Electricity,2020-06-07,4735.23,Home
106,Lottery,2020-06-22,951.03,Others
107,Hotel,2020-06-06,9080.51,Travel
108,Calling Card,2020-06-16,8606.08,Communication
109,Belt,2020-06-03,8797.62,Clothing
110,Drinks,2020-06-09,3993.02,Food
111,Sports Event,2020-06-24,4048.07,Entertainment
112,Jeans,2020-06-12,2160.05,Clothing
113,Taxi,2020-06-12,8197.93,Transportation
114,Train,2020-06-07,7636.47,Travel
115,Doctor Visit,2020-06-17,931.17,Medical
116,Dress,2020-06-04,4520.35,Clothing
117,Laundry,2020-06-09,7129.43,Others
118,Concert,2020-06-26,7142.73,Entertainment
119,Jacket,2020-06-15,5793.76,Clothing
120,Hat,2020-06-02,4671.03,Clothing
121,Mobile Recharge,2020-06-02,3546.38,Communication
122,Maintenance,2020-06-27,2323.26,Home
123,Accessories,2020-06-14,3261.06,Others
124,Dental Check,2020-06-15,6634.95,Medical
125,Drinks,2020-06-26,7583.59,Food
126,Sports Event,2020-06-13,3940.65,Entertainment
127,Flight,2020-06-15,9301.29,Travel
128,Donation,2020-06-14,277.00,Others
129,Bus,2020-06-23,8266.51,Transportation
130,Donation,2020-06-21,9033.35,Others
131,Train,2020-06-25,4689.75,Travel
132,Tennis,2020-06-15,8188.90,Sports
133,Calling Card,2020-06-03,7113.93,Communication
134,Hospital Bill,2020-06-06,5866.75,Medical
135,Gas,2020-06-26,3922.77,Home
136,Mobile Recharge,2020-06-05,9732.51,Communication
137,Pet,2020-06-02,9573.60,Others
138,Pet,2020-06-17,5356.59,Others
139,Roaming,2020-06-05,4008.56,Communication
140,Toll,2020-06-12,649.88,Transportation
141,Pet,2020-06-04,1439.14,Others
142,Accessories,2020-06-12,764.42,Others
143,Train,2020-06-10,8211.91,Travel
144,Electricity,2020-06-25,6430.72,Home
145,Scooter,2020-06-10,29.67,Transportation
146,Game,2020-06-08,8346.44,Entertainment
147,Maintenance,2020-06-09,4881.54,Home
148,Tuition,2020-06-26,7324.63,Education
149,Parking,2020-06-19,258.84,Transportation
150,Shirt,2020-06-26,2272.32,Clothing
151,Cruise,2020-06-13,2414.30,Travel
152,Coat,2020-06-23,6626.87,Clothing
153,Eye Exam,2020-06-21,4524.60,Medical
154,Insurance,2020-06-04,1284.41,Medical
155,Workshop,2020-06-21,2963.59,Education
156,Taxi,2020-06-15,2726.40,Transportation
157,Water Bill,2020-06-08,7081.27,Home
158,Insurance,2020-06-18,5442.91,Medical
159,Train,2020-06-19,1569.96,Travel
160,Maintenance,2020-06-21,1724.13,Home
161,Lottery,2020-06-23,3458.98,Others
162,Postage,2020-06-24,7215.02,Communication
163,Water Bill,2020-06-25,5215.15,Home
164,Flight,2020-06-07,5970.43,Travel
165,Donation,2020-06-01,9091.50,Others
166,Game,2020-06-09,7322.82,Entertainment
167,Subscription,2020-06-21,7629.08,Communication
168,Dress,2020-06-07,4050.00,Clothing
169,Football,2020-06-05,7784.77,Sports
170,Bicycle,2020-06-12,1314.33,Transportation
171,Charity,2020-06-14,911.58,Others
172,Rent,2020-06-22,1444.48,Home
173,Calling Card,2020-06-16,1079.75,Communication
174,Visa Fee,2020-06-09,7814.66,Travel
175,Theater,2020-06-05,79.39,Entertainment
176,Coat,2020-06-16,4147.03,Clothing
177,Travel Insurance,2020-06-01,8257.08,Travel
178,Music Festival,2020-06-13,4156.47,Entertainment
179,Yoga,2020-06-04,7936.61,Sports
180,Game,2020-06-18,4685.52,Entertainment
181,Flight,2020-06-01,5271.10,Travel
182,Calling Card,2020-06-15,5897.56,Communication
183,Shoes,2020-06-18,6747.33,Clothing
184,Internet,2020-06-06,817.80,Communication
185,Internet,2020-06-17,4736.42,Communication
186,Ride Sharing,2020-06-28,5683.85,Transportation
187,Running,2020-06-08,2246.20,Sports
188,Internet,2020-06-25,7141.68,Home
189,Gift,2020-06-17,5384.32,Others
190,Toll,2020-06-15,5382.55,Transportation
191,Delivery,2020-06-20,6284.94,Food
192,Medicine,2020-06-27,4343.88,Medical
193,Scooter,2020-06-01,9212.13,Transportation
194,Lottery,2020-06-20,7144.73,Others
195,Jeans,2020-06-21,3078.48,Clothing
196,Maintenance,2020-06-17,5441.78,Home
197,Backpack,2020-06-28,2636.02,Education
198,Dress,2020-06-26,9365.11,Clothing
199,Shoes,2020-06-23,8730.03,Clothing
200,Fuel,2020-06-04,3695.18,Travel
201,Lottery,2020-07-15,7926.56,Others
202,Bus,2020-07-14,7441.59,Transportation
203,Yoga,2020-07-06,5520.82,Sports
204,Visa Fee,2020-07-24,7622.31,Travel
205,Rental Car,2020-07-02,6854.61,Travel
206,Medicine,2020-07-28,8746.98,Medical
207,Restaurant,2020-07-26,3157.38,Food
208,Fuel,2020-07-08,3165.84,Travel
209,Appliance,2020-07-25,1620.44,Home
210,Online Course,2020-07-07,4172.72,Education
211,Delivery,2020-07-13,5727.09,Food
212,Mortgage,2020-07-15,3226.61,Home
213,Shoes,2020-07-21,9004.03,Clothing
214,Rental Car,2020-07-20,8728.42,Travel
215,Gym,2020-07-21,781.94,Sports
216,Coat,2020-07-18,355.10,Clothing
217,Stationery,2020-07-13,4154.28,Education
218,Fruits,2020-07-03,7346.64,Food
219,Roaming,2020-07-07,8194.88,Communication
220,Postage,2020-07-05,6268.36,Communication
221,Visa Fee,2020-07-18,5748.60,Travel
222,Travel Insurance,2020-07-21,893.19,Travel
223,Mobile Recharge,2020-07-06,1384.15,Communication
224,Subscription,2020-07-06,3188.68,Communication
225,Eye Exam,2020-07-06,5521.99,Medical
226,SIM Card,2020-07-28,4472.11,Communication
227,Doctor Visit,2020-07-23,7590.84,Medical
228,Flight,2020-07-04,9002.84,Travel
229,Insurance,2020-07-19,518.48,Medical
230,Delivery,2020-07-03,5979.73,Food
231,Metro,2020-07-19,6192.51,Transportation
232,Surgery,2020-07-05,881.30,Medical
233,Jeans,2020-07-25,5063.00,Clothing
234,Pen,2020-07-25,7559.23,Education
235,Laundry,2020-07-22,5275.50,Others
236,Hospital Bill,2020-07-22,8950.81,Medical
237,Meat,2020-07-05,6826.23,Food
238,Cafe,2020-07-21,5244.31,Food
239,Meat,2020-07-12,7130.34,Food
240,Dress,2020-07-22,2465.69,Clothing
241,Shirt,2020-07-19,4630.43,Clothing
242,Data Plan,2020-07-16,3521.18,Communication
243,Yoga,2020-07-20,6811.38,Sports
244,Roaming,2020-07-04,8803.62,Communication
245,Equipment,2020-07-07,1593.95,Sports
246,Doctor Visit,2020-07-24,6071.70,Medical
247,Workshop,2020-07-09,730.48,Education
248,Fuel,2020-07-28,7385.33,Transportation
249,Mortgage,2020-07-03,4866.17,Home
250,Roaming,2020-07-12,2974.48,Communication
251,Drinks,2020-07-13,7209.64,Food
252,VPN,2020-07-04,4002.92,Communication
253,Medicine,2020-07-21,1727.33,Medical
254,Appliance,2020-07-17,3356.07,Home
255,Cleaning,2020-07-03,8503.93,Home
256,Train,2020-07-03,1834.42,Travel
257,Amusement Park,2020-07-18,6786.96,Entertainment
258,Karaoke,2020-07-19,4901.06,Entertainment
259,Bank Fee,2020-07-01,6897.58,Others
260,Doctor Visit,2020-07-16,1234.22,Medical
261,Cleaning,2020-07-07,8163.82,Home
262,Running,2020-07-07,6209.53,Sports
263,Taxi,2020-07-12,7464.08,Travel
264,Gas,2020-07-13,7817.56,Home
265,Vaccination,2020-07-26,2778.94,Medical
266,Ride Sharing,2020-07-16,5576.28,Transportation
267,Amusement Park,2020-07-27,9776.67,Entertainment
268,Tuition,2020-07-05,7617.75,Education
269,Notebook,2020-07-27,842.36,Education
270,Meat,2020-07-18,2295.98,Food
271,Data Plan,2020-07-22,4162.92,Communication
272,Groceries,2020-07-24,9288.71,Food
273,Jeans,2020-07-25,2753.98,Clothing
274,Bank Fee,2020-07-20,1797.76,Others
275,Security,2020-07-13,5921.23,Others
276,Accessories,2020-07-10,9221.85,Others
277,Sports Event,2020-07-12,3624.60,Entertainment
278,Mortgage,2020-07-02,2914.73,Home
279,Water Bill,2020-07-19,8615.46,Home
280,Dental Check,2020-07-08,32.32,Medical
281,Meat,2020-07-18,7652.96,Food
282,Maintenance,2020-07-19,7264.08,Home
283,Hotel,2020-07-06,9704.70,Travel
284,Water Bill,2020-07-19,5705.60,Home
285,Books,2020-07-24,3068.28,Education
286,Train,2020-07-13,2456.42,Transportation
287,SIM Card,2020-07-20,2733.94,Communication
288,Pet,2020-07-10,6624.37,Others
289,Rental Car,2020-07-07,7124.79,Travel
290,Parking,2020-07-06,4341.73,Transportation
291,Concert,2020-07-08,8196.38,Entertainment
292,Books,2020-07-10,9283.84,Education
293,Basketball,2020-07-08,8119.79,Sports
294,Notebook,2020-07-18,1775.09,Education
295,Swimming,2020-07-08,8170.36,Sports
296,Toll,2020-07-06,8452.80,Travel
297,VPN,2020-07-13,4651.93,Communication
298,Coat,2020-07-13,6843.19,Clothing
299,Snacks,2020-07-15,6970.21,Food
300,Equipment,2020-07-21,4138.26,Sports
301,Bank Fee,2020-08-21,8608.51,Others
302,Pet,2020-08-27,1190.15,Others
303,Books,2020-08-19,6903.46,Education
304,Internet,2020-08-27,8041.70,Communication
305,Accessories,2020-08-16,6729.05,Others
306,Charity,2020-08-17,3911.50,Others
307,Bus,2020-08-12,2449.77,Transportation
308,Streaming Service,2020-08-17,1174.39,Entertainment
309,Notebook,2020-08-13,6514.17,Education
310,Pet,2020-08-11,8753.04,Others
311,Meat,2020-08-09,1912.86,Food
312,Cruise,2020-08-06,3488.90,Travel
313,Therapy,2020-08-02,6320.17,Medical
314,Bus,2020-08-04,7124.21,Transportation
315,Train,2020-08-14,4167.10,Travel
316,Shoes,2020-08-08,2008.78,Clothing
317,Gift,2020-08-11,2599.41,Others
318,Jacket,2020-08-16,7594.37,Clothing
319,Maintenance,2020-08-07,2786.15,Home
320,Taxi,2020-08-13,360.44,Travel
321,Rental Car,2020-08-28,3516.30,Travel
322,Data Plan,2020-08-14,8346.47,Communication
323,Fast Food,2020-08-08,7389.45,Food
324,Karaoke,2020-08-15,7771.73,Entertainment
325,Medicine,2020-08-21,7426.54,Medical
326,Therapy,2020-08-14,849.00,Medical
327,Dental Check,2020-08-14,6679.22,Medical
328,Swimming,2020-08-11,5462.05,Sports
329,Fitness Class,2020-08-28,2397.16,Sports
330,Groceries,2020-08-03,2207.32,Food
331,Cleaning,2020-08-01,2037.97,Home
332,Rental Car,2020-08-05,7998.17,Travel
333,Belt,2020-08-15,3908.70,Clothing
334,Surgery,2020-08-28,2156.70,Medical
335,Vegetables,2020-08-13,2552.82,Food
336,Water Bill,2020-08-14,5064.41,Home
337,Movie,2020-08-22,185.77,Entertainment
338,Coat,2020-08-20,2736.01,Clothing
339,Online Course,2020-08-11,7005.61,Education
340,Books,2020-08-25,9785.98,Education
341,Phone Bill,2020-08-01,3625.26,Communication
342,Gas,2020-08-22,5621.14,Home
343,Scarf,2020-08-18,5881.24,Clothing
344,Football,2020-08-06,9646.28,Sports
345,Travel Insurance,2020-08-28,2352.73,Travel
346,Football,2020-08-10,6158.71,Sports
347,Hotel,2020-08-20,8678.05,Travel
348,Parking,2020-08-19,3224.55,Transportation
349,Tennis,2020-08-20,9873.77,Sports
350,Storage,2020-08-13,3358.89,Others
351,Yoga,2020-08-13,6513.12,Sports
352,Tennis,2020-08-24,4927.03,Sports
353,Music Festival,2020-08-26,783.32,Entertainment
354,Mobile Recharge,2020-08-17,3241.24,Communication
355,SIM Card,2020-08-04,1064.00,Communication
356,Karaoke,2020-08-10,2964.42,Entertainment
357,Club,2020-08-11,4798.18,Entertainment
358,Shirt,2020-08-24,9494.93,Clothing
359,Furniture,2020-08-23,5448.74,Home
360,Cafe,2020-08-24,1408.23,Food
361,Football,2020-08-25,2899.12,Sports
362,Scarf,2020-08-10,6893.82,Clothing
363,Pet,2020-08-08,8906.31,Others
364,Visa Fee,2020-08-01,6904.13,Travel
365,Tuition,2020-08-26,7076.37,Education
366,Tennis,2020-08-12,1476.79,Sports
367,Groceries,2020-08-26,7777.97,Food
368,Furniture,2020-08-03,8299.17,Home
369,Meat,2020-08-26,1748.35,Food
370,Lottery,2020-08-02,3847.07,Others
371,Parking,2020-08-20,9746.74,Transportation
372,Delivery,2020-08-18,542.01,Food
373,Snacks,2020-08-25,5581.32,Food
374,Sports Event,2020-08-17,2024.02,Entertainment
375,Therapy,2020-08-28,6079.42,Medical
376,Train,2020-08-22,6185.85,Travel
377,Cleaning,2020-08-11,9628.52,Home
378,Internet,2020-08-27,8923.57,Home
379,Hotel,2020-08-16,4454.47,Travel
380,Surgery,2020-08-28,4756.93,Medical
381,Travel Insurance,2020-08-20,3886.40,Travel
382,Metro,2020-08-04,8566.52,Transportation
383,Doctor Visit,2020-08-15,4588.47,Medical
384,Workshop,2020-08-11,449.21,Education
385,Calling Card,2020-08-27,435.41,Communication
386,Socks,2020-08-01,6310.51,Clothing
387,Bus,2020-08-09,4510.33,Transportation
388,Taxi,2020-08-11,1622.65,Transportation
389,Theater,2020-08-10,4940.10,Entertainment
390,Parking,2020-08-04,6250.16,Transportation
391,Taxi,2020-08-14,4220.25,Transportation
392,Health Check,2020-08-17,5644.89,Medical
393,Fast Food,2020-08-10,4880.75,Food
394,Concert,2020-08-18,2941.83,Entertainment
395,Jeans,2020-08-13,4870.37,Clothing
396,Concert,2020-08-07,8446.12,Entertainment
397,Pen,2020-08-09,2947.37,Education
398,Cycling,2020-08-16,4260.83,Sports
399,Laundry,2020-08-03,8876.54,Others
400,Cycling,2020-08-13,6774.93,Sports
401,Fitness Class,2020-09-09,3188.57,Sports
402,Train,2020-09-10,6829.62,Transportation
403,Storage,2020-09-23,8389.39,Others
404,Scarf,2020-09-23,1956.68,Clothing
405,Fuel,2020-09-22,9199.47,Travel
406,Internet,2020-09-18,9355.45,Home
407,Travel Insurance,2020-09-14,9620.26,Travel
408,Donation,2020-09-24,5540.27,Others
409,Tuition,2020-09-03,7809.18,Education
410,Fruits,2020-09-20,1896.06,Food
411,Streaming Service,2020-09-23,9253.97,Entertainment
412,Accessories,2020-09-04,7523.11,Others
413,Delivery,2020-09-14,1623.27,Food
414,Donation,2020-09-27,8385.45,Others
415,Train,2020-09-22,9154.21,Transportation
416,Toll,2020-09-19,9369.37,Travel
417,Internet,2020-09-04,5088.01,Home
418,Fuel,2020-09-04,4092.50,Transportation
419,Running,2020-09-26,8442.90,Sports
420,Electricity,2020-09-08,2864.45,Home
421,Rent,2020-09-13,991.65,Home
422,Equipment,2020-09-09,2299.38,Sports
423,Delivery,2020-09-21,2279.07,Food
424,Scooter,2020-09-13,9562.08,Transportation
425,Jeans,2020-09-03,6855.07,Clothing
426,Surgery,2020-09-20,1659.69,Medical
427,Flight,2020-09-25,5556.04,Travel
428,Shirt,2020-09-03,9615.07,Clothing
429,Hat,2020-09-14,8175.51,Clothing
430,Movie,2020-09-28,581.39,Entertainment
431,Workshop,2020-09-12,9365.54,Education
432,Data Plan,2020-09-15,8668.88,Communication
433,Fitness Class,2020-09-08,5927.59,Sports
434,Health Check,2020-09-17,4597.21,Medical
435,Data Plan,2020-09-20,9114.84,Communication
436,Data Plan,2020-09-19,6733.31,Communication
437,Water Bill,2020-09-11,1047.86,Home
438,Therapy,2020-09-23,206.97,Medical
439,Online Course,2020-09-18,3175.53,Education
440,Stationery,2020-09-21,4124.16,Education
441,Club,2020-09-24,675.16,Entertainment
442,Train,2020-09-06,650.19,Transportation
443,Game,2020-09-12,7655.57,Entertainment
444,Shirt,2020-09-27,3478.36,Clothing
445,Socks,2020-09-16,1842.55,Clothing
446,Parking,2020-09-20,7504.51,Transportation
447,Fitness Class,2020-09-15,2055.61,Sports
448,Drinks,2020-09-20,1938.24,Food
449,Seminar,2020-09-03,9254.02,Education
450,Donation,2020-09-05,7024.83,Others
451,Ride Sharing,2020-09-14,3485.77,Transportation
452,Drinks,2020-09-03,337.11,Food
453,Electricity,2020-09-19,3916.83,Home
454,Belt,2020-09-27,9368.22,Clothing
455,Pet,2020-09-23,506.18,Others
456,Fruits,2020-09-19,5185.31,Food
457,Stationery,2020-09-25,538.42,Education
458,Health Check,2020-09-10,6649.46,Medical
459,Fuel,2020-09-02,5886.29,Transportation
460,Appliance,2020-09-12,3347.85,Home
461,Bus,2020-09-10,2386.09,Transportation
462,Cruise,2020-09-10,1298.96,Travel
463,Bicycle,2020-09-11,9550.44,Transportation
464,Fruits,2020-09-17,2149.41,Food
465,Internet,2020-09-23,8497.89,Communication
466,Tuition,2020-09-15,3192.22,Education
467,Tennis,2020-09-18,9351.62,Sports
468,Flight,2020-09-16,6765.78,Travel
469,Coat,2020-09-24,8898.39,Clothing
470,Dental Check,2020-09-02,1340.38,Medical
471,Gift,2020-09-19,7092.99,Others
472,Mortgage,2020-09-19,5304.19,Home
473,Club,2020-09-05,6963.21,Entertainment
474,Toll,2020-09-16,6272.63,Transportation
475,VPN,2020-09-19,2568.94,Communication
476,Streaming Service,2020-09-05,317.42,Entertainment
477,Swimming,2020-09-18,9451.73,Sports
478,Hat,2020-09-05,685.42,Clothing
479,Lottery,2020-09-25,1683.59,Others
480,Online Course,2020-09-20,1365.28,Education
481,Cafe,2020-09-25,7629.07,Food
482,Storage,2020-09-27,7136.89,Others
483,Doctor Visit,2020-09-21,7405.62,Medical
484,Insurance,2020-09-28,14.07,Medical
485,Vegetables,2020-09-24,9191.31,Food
486,Restaurant,2020-09-27,7166.66,Food
487,Maintenance,2020-09-10,8692.33,Home
488,Stationery,2020-09-09,7377.57,Education
489,Equipment,2020-09-14,31.23,Sports
490,Donation,2020-09-14,8160.28,Others
491,Calling Card,2020-09-10,3283.70,Communication
492,Stationery,2020-09-01,1764.43,Education
493,Online Course,2020-09-01,9546.83,Education
494,Club,2020-09-23,9313.56,Entertainment
495,Data Plan,2020-09-15,9393.24,Communication
496,Dental Check,2020-09-16,3033.98,Medical
497,Security,2020-09-19,2788.90,Others
498,Cycling,2020-09-18,8976.55,Sports
499,Running,2020-09-14,3795.58,Sports
500,Stationery,2020-09-04,4273.90,Education
501,Gas,2020-10-27,7254.98,Home
502,Electricity,2020-10-14,2662.13,Home
503,Fruits,2020-10-19,90.21,Food
504,Basketball,2020-10-15,5344.81,Sports
505,Amusement Park,2020-10-21,4592.34,Entertainment
506,Stationery,2020-10-27,4685.25,Education
507,Exam Fee,2020-10-14,195.07,Education
508,Theater,2020-10-16,2126.78,Entertainment
509,Bicycle,2020-10-20,4319.67,Transportation
510,Doctor Visit,2020-10-08,8012.67,Medical
511,Swimming,2020-10-03,7096.00,Sports
512,Snacks,2020-10-03,6318.08,Food
513,Bank Fee,2020-10-21,7388.00,Others
514,Yoga,2020-10-19,3735.08,Sports
515,Karaoke,2020-10-14,2932.18,Entertainment
516,Visa Fee,2020-10-10,4371.12,Travel
517,Jeans,2020-10-27,6294.46,Clothing
518,Visa Fee,2020-10-09,239.72,Travel
519,Karaoke,2020-10-15,4417.04,Entertainment
520,Laundry,2020-10-16,3123.01,Others
521,Bank Fee,2020-10-08,8207.11,Others
522,Taxi,2020-10-17,1162.51,Travel
523,Taxi,2020-10-20,3417.71,Travel
524,Workshop,2020-10-21,6016.41,Education
525,Doctor Visit,2020-10-17,1631.52,Medical
526,Fast Food,2020-10-06,9500.98,Food
527,Postage,2020-10-14,6729.83,Communication
528,VPN,2020-10-12,6503.77,Communication
529,Maintenance,2020-10-25,4512.17,Home
530,Train,2020-10-14,8683.54,Transportation
531,Visa Fee,2020-10-20,4067.39,Travel
532,Fruits,2020-10-19,3750.51,Food
533,Flight,2020-10-18,8986.84,Travel
534,Laundry,2020-10-15,6422.49,Others
535,Basketball,2020-10-05,8246.03,Sports
536,Equipment,2020-10-16,577.78,Sports
537,Jeans,2020-10-01,2375.63,Clothing
538,Charity,2020-10-01,8025.49,Others
539,Hat,2020-10-21,3950.59,Clothing
540,Toll,2020-10-14,7814.01,Transportation
541,Travel Insurance,2020-10-16,8493.60,Travel
542,Charity,2020-10-14,7760.71,Others
543,Online Course,2020-10-05,1118.75,Education
544,Dental Check,2020-10-09,9223.68,Medical
545,Internet,2020-10-19,6407.50,Home
546,Bus,2020-10-13,1774.91,Transportation
547,Swimming,2020-10-16,3915.08,Sports
548,Water Bill,2020-10-20,9582.12,Home
549,Theater,2020-10-18,1931.11,Entertainment
550,Workshop,2020-10-18,2681.57,Education
551,Toll,2020-10-25,4401.86,Transportation
552,Backpack,2020-10-14,2309.76,Education
553,Cleaning,2020-10-08,4592.55,Home
554,Cruise,2020-10-25,2253.43,Travel
555,Streaming Service,2020-10-10,1418.07,Entertainment
556,Internet,2020-10-17,2445.19,Home
557,Meat,2020-10-12,1680.37,Food
558,Drinks,2020-10-08,8325.59,Food
559,Swimming,2020-10-20,100.00,Sports
560,Cafe,2020-10-09,9759.05,Food
561,Travel Insurance,2020-10-15,3699.60,Travel
562,Exam Fee,2020-10-10,8136.26,Education
563,Cycling,2020-10-27,5132.01,Sports
564,Hat,2020-10-17,330.17,Clothing
565,Bicycle,2020-10-28,2999.77,Transportation
566,Medicine,2020-10-16,8673.27,Medical
567,Yoga,2020-10-17,5595.00,Sports
568,Amusement Park,2020-10-26,6290.14,Entertainment
569,Flight,2020-10-27,190.84,Travel
570,Accessories,2020-10-17,9059.24,Others
571,Club,2020-10-03,7990.14,Entertainment
572,Security,2020-10-26,406.01,Others
573,Cycling,2020-10-14,4907.29,Sports
574,VPN,2020-10-20,8329.07,Communication
575,Socks,2020-10-01,6268.33,Clothing
576,Sports Event,2020-10-23,8453.38,Entertainment
577,Laundry,2020-10-28,9566.45,Others
578,Fuel,2020-10-25,6403.00,Travel
579,Therapy,2020-10-03,4507.32,Medical
580,Drinks,2020-10-03,9163.70,Food
581,Toll,2020-10-14,5162.40,Travel
582,Calling Card,2020-10-09,3945.95,Communication
583,Hospital Bill,2020-10-06,4100.80,Medical
584,Charity,2020-10-18,832.17,Others
585,Charity,2020-10-27,4003.56,Others
586,Travel Insurance,2020-10-24,1044.71,Travel
587,Shoes,2020-10-20,4616.17,Clothing
588,Charity,2020-10-28,8478.47,Others
589,Security,2020-10-10,1054.69,Others
590,Tuition,2020-10-03,5757.69,Education
591,Seminar,2020-10-20,872.19,Education
592,Gift,2020-10-03,3956.95,Others
593,Online Course,2020-10-21,5444.91,Education
594,Fuel,2020-10-26,9187.04,Transportation
595,Hat,2020-10-08,1827.43,Clothing
596,Gift,2020-10-03,577.01,Others
597,Swimming,2020-10-07,8619.91,Sports
598,Concert,2020-10-16,4472.66,Entertainment
599,Concert,2020-10-27,2372.00,Entertainment
600,Online Course,2020-10-24,869.82,Education
601,Online Course,2020-11-05,9465.74,Education
602,Football,2020-11-27,9931.02,Sports
603,Snacks,2020-11-09,7394.44,Food
604,Train,2020-11-11,4196.54,Transportation
605,Mortgage,2020-11-07,2311.74,Home
606,Workshop,2020-11-14,3534.13,Education
607,Dress,2020-11-09,4230.43,Clothing
608,Jeans,2020-11-24,6428.86,Clothing
609,Gas,2020-11-27,683.09,Home
610,Travel Insurance,2020-11-18,1880.64,Travel
